Target: 192.168.1.10 - SEHome-PC
Time range: From: 8/25/2015 8:08:07 PM to: 8/27/2015 8:08:07 PM
Usage stats:
User download usage (mb): 732.98 mb
Packets requested by user: 4,183,287.00
User upload usage (mb): 2,217,456.00
Packets sent by user: 2,217,456.00
Total download utilizatin (mb): 3,619.78 mb
Total Packets requested: 11,890,838.00
Bandwidth usage percentage: 20.25
Packets usage percentage: 35.18
8/26/2015 10:12:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,538,538,0&db_conn=1,0,0,0,0
8/26/2015 10:12:12 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 10:12:12 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 10:13:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,648,648,0&db_conn=1,0,0,0,0
8/26/2015 10:14:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,526,526,0&db_conn=1,0,0,0,0
8/26/2015 10:15:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,524,524,0&db_conn=1,0,0,0,0
8/26/2015 10:16:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,653,653,0&db_conn=1,0,0,0,0
8/26/2015 10:16:05 PM	, 	allow	, 	http://cdn.ap.bittorrent.com/control/feature/tags/ut.json
8/26/2015 10:16:05 PM	, 		, 	http://cdn.ap.bittorrent.com/control/feature/tags/ut.json
8/26/2015 10:16:29 PM	, 	allow	, 	http://service.weather.microsoft.com/appex/DesktopTile/PreInstallLiveTile?lang=en-US&region=US&appid=C98EA5B0842DBB9405BBF071E1DA76512D21FE36&FORM=APXWEA
8/26/2015 10:16:29 PM	, 	deny	, 	http://en-us.appex-rf.msn.com/cgtile/v1/en-US/News/Today.xml
8/26/2015 10:16:29 PM	, 	deny	, 	http://en-us.appex-rf.msn.com/cgtile/v1/en-US/HealthAndFitness/Home.xml?cgversion=v6
8/26/2015 10:16:29 PM	, 	deny	, 	http://en-us.appex-rf.msn.com/cgtile/v1/en-US/Sports/Today.xml?cgversion=v6
8/26/2015 10:16:29 PM	, 	allow	, 	http://finance.services.appex.bing.com/Market.svc/AppTileV2?symbols=&contentType=-1&tileType=0&locale=en-US
8/26/2015 10:16:29 PM	, 	allow	, 	http://foodanddrink.tile.appex.bing.com/api/feed/?view-name=data&name=livetile&market=en-US&version=2_0&format=xml
8/26/2015 10:16:29 PM	, 		, 	http://finance.services.appex.bing.com/Market.svc/AppTileV2?symbols=&contentType=-1&tileType=0&locale=en-US
8/26/2015 10:16:29 PM	, 		, 	http://foodanddrink.tile.appex.bing.com/api/feed/?view-name=data&name=livetile&market=en-US&version=2_0&format=xml
8/26/2015 10:16:34 PM	, 	allow	, 	http://weather.toptools100.com/weather?key=45449&lang=EN
8/26/2015 10:16:42 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
